"url","city","price","year","manufacturer","make","condition","cylinders","fuel","odometer","title_status","transmission","vin","drive","size","type","paint_color","image_url","lat","long","county_fips","county_name","state_fips","state_code","state_name","weather"
"https://whistler.craigslist.ca/ctd/d/2014-nissan-pathfinder-sv-4wd/6716535989.html","whistler","21988","2014",,"model","excellent","6 cylinders","gas",,"clean","automatic",,"4wd",,,"silver","https://images.craigslist.org/00505_51e0xrIkigJ_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-mitsubishi-outlander-es/6716117803.html","whistler","21988","2016",,"model","excellent","4 cylinders","gas",,"clean","automatic",,"4wd",,,"grey","https://images.craigslist.org/01616_6U1X3vpoFVu_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2015-toyota-tacoma-v6-4x4-trd/6716105659.html","whistler","29895","2015",,"model","excellent","6 cylinders","gas",,"clean","automatic",,"4wd",,,"grey","https://images.craigslist.org/00L0L_4Ids05i1tM9_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-dodge-charger-sxt-plus/6716892191.html","whistler","26988","2017",,"model","like new","6 cylinders","gas",,"clean","automatic",,"rwd",,,"grey","https://images.craigslist.org/00R0R_aEeEUfOshdE_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-mazda-3-sport-gx/6716901876.html","whistler","11995","2012",,"model","excellent","4 cylinders","gas",,"clean","automatic",,"fwd",,"hatchback","blue","https://images.craigslist.org/00n0n_3DoLZeMmKsB_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-dodge-charger-sxt-plus/6715326014.html","whistler","26988","2017",,"model","like new","6 cylinders","gas",,"clean","automatic",,"rwd",,,"grey","https://images.craigslist.org/01616_lqjGNEAesUS_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-mitsubishi-outlander-es/6715331600.html","whistler","21995","2016",,"model","excellent","4 cylinders","gas",,"clean","automatic",,"4wd",,,"grey","https://images.craigslist.org/01010_2AWTG1GeotQ_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/white-pearl2016-mitsubishi/6716899258.html","whistler","16995","2015",,"model","new",,"gas",,"clean","automatic",,,,,,"https://images.craigslist.org/01111_dh2igp3uREv_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-chrysler-300-touring/6716889712.html","whistler","24995","2017",,"model","like new","6 cylinders","gas",,"clean","automatic",,"rwd",,,"blue","https://images.craigslist.org/00j0j_laCNG7xkzS3_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2018-mitsubishi-outlander/6699866483.html","whistler","47717","2018",,"model","excellent",,"hybrid",,"clean","automatic",,,,,"black","https://images.craigslist.org/00h0h_e4RDOgGc6te_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-mitsubishi-lancer-se-ltd/6708609763.html","whistler","16995","2015",,"model","new",,"gas",,"clean","automatic",,,,,,"https://images.craigslist.org/01111_dh2igp3uREv_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/black2016-mitsubishi/6708607099.html","whistler","26888","2016",,"model","excellent",,"gas",,"clean","automatic",,,,,"black","https://images.craigslist.org/01414_cEJ00dvOipa_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2014-toyota-camry-le-hybrid/6694136669.html","whistler","17700","2014","toyota","camry le hybrid",,,"electric","153000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00s0s_6gZRsRGz2ZC_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2007-land-rover-range-rover/6708403637.html","whistler","14990","2007","rover","sport",,,"gas","161000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00P0P_hlLIttZ0uBT_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2017-dodge-challenger-sxt/6708598415.html","whistler","33950","2017","dodge","challenger sxt",,,"gas","12000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00W0W_4OMZZ416s4y_600x450.jpg","49.164622","-122.797475",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-nissan-murano-le-awd-no/6699881840.html","whistler","21888","2012",,"model","excellent","6 cylinders","gas",,"clean","automatic",,,,,"silver","https://images.craigslist.org/00R0R_6B9r3Q5Dvx2_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-nissan-sentra-sv-sedan/6716103017.html","whistler","15988","2016",,"model","excellent",,"gas",,"clean","automatic",,,,,"blue","https://images.craigslist.org/00H0H_5YXjkSvJYYB_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2012-mazda-3-sport-gx/6716115236.html","whistler","11988","2012",,"model","excellent","4 cylinders","gas",,"clean","automatic",,"fwd",,"hatchback","blue","https://images.craigslist.org/00c0c_58Cqe0DvHuP_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-chrysler-300-touring/6714046172.html","whistler","26880","2016","chrysler","300",,,"gas","49000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/01212_eVww93xdKHO_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2010-toyota-prius-hybrid/6706795663.html","whistler","17990","2010","toyota","prius hybrid",,,"hybrid","117000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00A0A_9uISjwCoREU_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2010-toyota-prius-hybrid/6708195085.html","whistler","17990","2010","toyota","prius hybrid",,,"hybrid","117000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00A0A_9uISjwCoREU_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2010-audi-q5-navigation-1/6704341330.html","whistler","15890","2010","audi","q5 3.2",,,"gas","188000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00d0d_6Wi1bT9UiA6_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2016-dodge-charger-sxt-awd/6694182781.html","whistler","27890","2016","dodge","charger sxt",,,"gas","31000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00F0F_1460JWHKtM5_600x450.jpg","49.164622","-122.797475",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2007-nissan-murano-se-awd/6708462921.html","whistler","8800","2007","nissan","murano se",,,"gas","163000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00M0M_5S1rIk3kXjz_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2006-mazda-6-mazda6-gt-mazda3/6716238544.html","whistler","2990","2006","mazda","6 mazda6 gt",,,"gas","259000","clean","manual","KELLY 6047278476",,,,,"https://images.craigslist.org/00T0T_gOVggzCOc5T_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2015-toyota-rav4-xle/6716251632.html","whistler","24990","2015","toyota","rav4",,,"gas","34000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00b0b_dXvJZEJFUzG_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2014-subaru-impreza-awd-low/6708566252.html","whistler","13890","2014","subaru","impreza 2.0i",,,"gas","78000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00Z0Z_j51Fhkx35Dd_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2010-toyota-camry-le-1-year/6708571011.html","whistler","9690","2010","toyota","camry le",,,"gas","159000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/01414_d9S7tRW3fbc_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://whistler.craigslist.ca/ctd/d/2010-audi-q5-premium/6704342588.html","whistler","18990","2010","audi","q5 3.2",,,"gas","152000","clean","automatic","KELLY 6047278476",,,,,"https://images.craigslist.org/00T0T_hzVF1f8Tsp4_600x450.jpg","49.026576","-122.82921",,,,,"FAILED",
"https://easttexas.craigslist.org/cto/d/2004-ford-focus/6718627137.html","easttexas","1250","2004","ford","focus se 4dr sedan","fair","4 cylinders","gas",,"clean","automatic",,"fwd",,"sedan","blue","https://images.craigslist.org/00f0f_i0OHx0px5Tb_600x450.jpg","32.14739","-95.404945","48423","Smith","48","TX","Texas","67"
"https://easttexas.craigslist.org/cto/d/1982-chevy-c30/6718610635.html","easttexas","2850","1982","chevy","","good","8 cylinders","gas","14000","clean","manual",,"rwd","mid-size","pickup","red","https://images.craigslist.org/01616_9ms6ciNVu29_600x450.jpg","37.13284","-95.78558","20125","Montgomery","20","KS","Kansas","51"
