,Unnamed: 0,price,year,odometer,lat,long,labels
205153,820612,1975,1997.0,196085.0,40.6622,-75.3903,0
409401,1637604,17000,2006.0,156737.0,43.077899,-89.37961899999998,0
190067,760268,18999,2012.0,90000.0,41.6913,-70.9355,0
153672,614688,1350,1998.0,190.0,38.4797,-121.4438,0
144750,579000,14500,2016.0,37240.0,45.464359,-122.638397,0
167025,668100,14321,2017.0,45607.0,37.5308,-121.9712,0
306889,1227556,5995,2008.0,121082.0,29.57915,-95.768995,0
46481,185924,11950,2010.0,87887.0,44.8346,-91.5159,0
168857,675428,3500,2010.0,160000.0,38.115867,-121.269802,0
117470,469880,13250,2011.0,63126.0,41.10094,-81.45528,0
411098,1644392,51595,2016.0,33639.0,45.1025,-91.49,0
405938,1623752,8440,2009.0,93459.0,43.0775,-89.3831,0
57342,229368,32599,2014.0,31047.0,46.234838,-119.128015,0
245358,981432,6950,2008.0,160000.0,46.283228,-96.081018,0
255187,1020748,5500,2005.0,270566.0,32.4671,-90.1087,0
398341,1593364,9600,1999.0,29000.0,42.651232,-76.112337,0
76865,307460,14777,2012.0,128250.0,38.96537,-77.503136,0
376804,1507216,21999,2017.0,12262.0,47.65613,-117.236949,0
164820,659280,10995,2013.0,62490.0,35.283445,-120.658029,0
406623,1626492,5500,2000.0,116894.0,44.9587,-91.3195,0
257817,1031268,3995,2008.0,151000.0,43.562091,-96.702598,0
105919,423676,15222,2016.0,30682.0,30.002045000000006,-90.137921,0
316951,1267804,4500,2006.0,107700.0,32.6661,-95.487,0
342118,1368472,11995,2009.0,175430.0,43.6403,-116.26346,0
53635,214540,22988,2012.0,92747.0,43.066264,-71.447,0
183414,733656,26995,2012.0,83540.0,34.1847,-118.38697,0
373819,1495276,1850,2006.0,163000.0,46.384442,-118.943862,0
51088,204352,4200,2008.0,120000.0,42.1133,-80.0976,0
369714,1478856,16977,2008.0,234185.0,47.912956,-122.235725,0
95813,383252,1650,2005.0,250000.0,49.676249,-124.928366,0
171852,687408,8995,2009.0,117527.0,38.682712,-120.849662,0
11681,46724,7995,2013.0,92000.0,42.8821,-97.3986,0
288365,1153460,9800,2008.0,211063.0,30.480578,-84.29691600000002,0
138045,552180,2000,2002.0,138000.0,39.3331,-76.7849,0
188962,755848,6100,2012.0,111465.0,41.704203,-70.388988,0
287158,1148632,9500,2008.0,80000.0,28.4871,-81.4082,0
196328,785312,4995,2001.0,160000.0,40.1553,-76.6025,0
348195,1392780,4499,2001.0,108213.0,39.186265,-78.14487199999998,0
230564,922256,5450,2010.0,104321.0,43.156576,-83.700959,0
36008,144032,18995,2007.0,142300.0,39.8395,-88.9465,0
257669,1030676,1230,1999.0,222018.0,44.507046,-103.87989,0
319224,1276896,12814,2015.0,66366.0,27.656582,-97.481814,0
387043,1548172,3000,2009.0,164000.0,41.5815,-93.4848,0
184052,736208,8200,2016.0,56310.0,33.8419,-117.6043,0
404491,1617964,20900,2018.0,10768.0,42.86829,-78.28514100000002,0
104893,419572,9999,2004.0,80214.0,61.217336,-149.864473,0
22015,88060,22991,2007.0,104388.0,47.912956,-122.235725,0
387006,1548024,8350,2014.0,67320.0,41.610796,-93.883839,0
65946,263784,15975,2016.0,30000.0,39.690281,-84.239731,0
36302,145208,3800,1990.0,140000.0,36.225928,-115.121151,0
54932,219728,5999,2008.0,155000.0,41.0128,-74.3338,0
254112,1016448,12995,2005.0,125787.0,32.3739,-90.1293,0
139432,557728,3900,2003.0,222450.0,39.0407,-76.6819,0
322032,1288128,4700,2010.0,60000.0,29.6863,-95.2555,0
9326,37304,15899,2012.0,140000.0,49.889282,-119.474486,0
379502,1518008,6000,2012.0,196458.0,39.8471,-85.9741,0
207966,831864,8600,1995.0,148141.0,38.504203,-107.739487,0
303823,1215292,27822,2017.0,78213.0,46.918245,-114.071694,0
74953,299812,4995,2005.0,117000.0,39.427086,-84.451491,0
36631,146524,15389,2016.0,46188.0,34.737799,-86.650889,0
375853,1503412,12297,2005.0,125278.0,48.7557,-122.448,0
418237,1672948,2000,2000.0,190818.0,35.4499,-82.4966,0
